Title,Date
Bridgerton: Season 2: Capital R Rake,3/29/22
The Adam Project,3/26/22
Bridgerton: Season 1: After the Rain,3/25/22
"Shameless (U.S.): Season 1: Frank Gallagher: Loving Husband, Devoted Father",3/24/22
Cobra Kai: Season 2: Pulpo,3/20/22
Cobra Kai: Season 2: Glory of Love,3/13/22
Cobra Kai: Season 2: Lull,3/12/22
Cobra Kai: Season 2: Take a Right,3/12/22
Destination Wedding,3/12/22
The Blue Lagoon,3/11/22
Cobra Kai: Season 2: All In,3/11/22
Cobra Kai: Season 2: The Moment of Truth,3/10/22
Cobra Kai: Season 2: Fire and Ice,3/10/22
Cobra Kai: Season 2: Back in Black,3/9/22
"Cobra Kai: Season 2: Mercy, Part II",3/9/22
Cobra Kai: Season 1: Mercy,3/9/22
Cobra Kai: Season 1: Different But Same,3/9/22
Cobra Kai: Season 1: Molting,3/9/22
Cobra Kai: Season 1: All Valley,3/8/22
Cobra Kai: Season 1: Quiver,3/8/22
Cobra Kai: Season 1: Counterbalance,3/8/22
Cobra Kai: Season 1: Cobra Kai Never Dies,3/8/22
Cobra Kai: Season 1: Esqueleto,3/7/22
Cobra Kai: Season 1: Strike First,3/7/22
Cobra Kai: Season 1: Ace Degenerate,3/7/22
My Best Friend's Wedding,3/7/22
The Woman in the House Across the Street from the Girl in the Window: Season 1: Episode 3,3/7/22
Grace and Frankie: Season 3: The Sign,3/6/22
The Lost Daughter,3/2/22
Riverdale: Season 5: Chapter Eighty-Four: Lock & Key,2/26/22
Friday Night Lights: Season 1: Wind Sprints,2/23/22
Friday Night Lights: Season 1: Eyes Wide Open,2/23/22
Ophelia,2/22/22
The Woman in the House Across the Street from the Girl in the Window: Season 1: Episode 2,2/22/22
The Woman in the House Across the Street from the Girl in the Window: Season 1: Episode 1,2/22/22
Bridgerton: Season 1: Oceans Apart,2/20/22
Bridgerton: Season 1: Swish,2/20/22
All of Us Are Dead: Season 1: Episode 1,2/20/22
A River Runs Through It,2/19/22
Friday Night Lights: Season 1: Pilot,2/18/22
Tall Girl 2,2/16/22
Cobra Kai: Season 4: Party Time,2/15/22
To All the Boys I’ve Loved Before,2/11/22
Insatiable: Season 1: Dunk 'N' Donut,2/11/22
Insatiable: Season 1: Bad Kitty,2/11/22
Monster,2/10/22
Dear John,2/10/22
The Dirt,2/7/22
Murderville: Season 1: Triplet Homicide,2/7/22
Murderville: Season 1: The Magician’s Assistant,2/7/22
The Hangover,2/6/22
"Girl, Interrupted",2/1/22
Spinning Out: Season 1: Now Entering Sun Valley,1/31/22
The Woman in the House Across the Street from the Girl in the Window: Season 1: Episode 4,1/28/22
Marvel's Daredevil: Season 1: Cut Man,1/27/22
Marvel's Daredevil: Season 1: Into the Ring,1/27/22
Little Italy,1/24/22
Breaking Bad: Season 4: Box Cutter,1/24/22
Squid Game: Season 1: The Man with the Umbrella,1/22/22
Don't Look Up,1/22/22
Darkest Hour,1/20/22
Neon Genesis Evangelion: Season 1: The Birth of Nerv,1/18/22
Neon Genesis Evangelion: Season 1: Of the Shapes of Hearts and Humans,1/18/22
Neon Genesis Evangelion: Season 1: A Man’s Battle,1/18/22
Neon Genesis Evangelion: Season 1: Life and Death Decisions,1/18/22
The DUFF,1/17/22
"BoJack Horseman: Season 1: BoJack Horseman: The BoJack Horseman Story, Chapter One",1/17/22
After We Fell,1/17/22
Moxie,1/17/22
Neon Genesis Evangelion: Season 1: The Fourth to be Qualified,1/13/22
"Neon Genesis Evangelion: Season 1: The Sickness unto Death, and Then…",1/13/22
A Very Country Christmas,12/31/21
A California Christmas: City Lights,12/30/21
Twilight,12/29/21
Neon Genesis Evangelion: Season 1: Lies and Silence,12/28/21
A California Christmas,12/27/21
The Knight Before Christmas,12/27/21
Single All The Way,12/27/21
A Silent Voice,12/26/21
Baby: Season 1: Emma,12/21/21
Baby: Season 1: The Last Shot,12/21/21
Baby: Season 2: Dead End,12/21/21
Baby: Season 2: Truth or Dare,12/21/21
Baby: Season 2: Ghosts,12/21/21
Baby: Season 1: #Love,12/21/21
Baby: Season 2: #justagame,12/21/21
Baby: Season 1: Puppet,12/21/21
Baby: Season 1: Superpowers,12/21/21
Tiny Pretty Things: Season 1: Corps,12/21/21
Project X,12/18/21
Apocalypse Now Redux,12/16/21
DEATH NOTE: Death Note: Dealings,12/16/21
"Neon Genesis Evangelion: Season 1: Seele, the Seat of the Soul",12/15/21
21 Jump Street,12/13/21
Neon Genesis Evangelion: Season 1: Angel Infiltration,12/12/21
Big Mouth: Season 1: Girls Are Horny Too,12/11/21
Big Mouth: Season 1: Sleepover: A Harrowing Ordeal of Emotional Brutality,12/11/21
Big Mouth: Season 1: Am I Gay?,12/11/21
Big Mouth: Season 1: Everybody Bleeds,12/11/21
Big Mouth: Season 1: Ejaculation,12/11/21
Young Royals: Season 1: Episode 6,12/9/21
Young Royals: Season 1: Episode 5,12/9/21
Young Royals: Season 1: Episode 4,12/9/21
Neon Genesis Evangelion: Season 1: A Miracle’s Worth,12/9/21
Neon Genesis Evangelion: Season 1: In the Still Darkness,12/9/21
Neon Genesis Evangelion: Season 1: The Magma Diver,12/9/21
Wild Things,12/6/21
Squid Game: Season 1: Hell,12/6/21
"Squid Game: Season 1: Red Light, Green Light",12/5/21
The Power of the Dog,12/5/21
A Castle For Christmas,12/3/21
Gilmore Girls: Season 3: Let the Games Begin,12/1/21
"Gilmore Girls: Season 3: They Shoot Gilmores, Don't They?",12/1/21
Gilmore Girls: Season 3: Eight O'Clock at the Oasis,12/1/21
Gilmore Girls: Season 3: One's Got Class and the Other One Dyes,12/1/21
Gilmore Girls: Season 3: Application Anxiety,12/1/21
Gilmore Girls: Season 3: Haunted Leg,12/1/21
"Neon Genesis Evangelion: Season 1: Mind, Matching, Moment",11/29/21
Nocturnal Animals,11/28/21
Neon Genesis Evangelion: Season 1: Asuka Arrives in Japan,11/28/21
Shameless (U.S.): Season 8: Icarus Fell. And Rusty Ate Him.,11/28/21
Shameless (U.S.): Season 8: The (Mis)Education of Liam Fergus Beircheart Gallagher,11/28/21
Shameless (U.S.): Season 8: F**k Paying It Forward,11/28/21
Shameless (U.S.): Season 8: God Bless Her Rotting Soul,11/28/21
Neon Genesis Evangelion: Season 1: The Works of Man,11/28/21
Neon Genesis Evangelion: Season 1: Showdown in Tokyo-3,11/27/21
"Neon Genesis Evangelion: Season 1: Rei, Beyond the Heart",11/27/21
"Neon Genesis Evangelion: Season 1: Rain, After Running Away",11/27/21
Klaus,11/26/21
Neon Genesis Evangelion: Season 1: The Silent Phone,11/22/21
Neon Genesis Evangelion: Season 1: Unfamiliar Ceilings,11/22/21
Neon Genesis Evangelion: Season 1: Angel Attack,11/22/21
Bridgerton: Season 1: Diamond of the First Water,11/14/21
DEATH NOTE: Death Note: Confrontation,11/12/21
The Princess Switch,11/12/21
DEATH NOTE: Death Note: Rebirth,11/12/21
Big Mouth: Season 5: Re-New Year's Eve,11/12/21
Big Mouth: Season 5: Sugarbush,11/9/21
Big Mouth: Season 5: A Very Big Mouth Christmas,11/9/21
Big Mouth: Season 5: I F**king Hate You,11/9/21
Big Mouth: Season 5: Best Friends Make the Best Lovers,11/9/21
Big Mouth: Season 5: Thanksgiving,11/9/21
Big Mouth: Season 5: The Green-Eyed Monster,11/9/21
Big Mouth: Season 5: Lovebugs,11/8/21
Big Mouth: Season 5: The Shane Lizard Rises,11/8/21
Big Mouth: Season 5: No Nut November,11/8/21
Big Mouth: Season 4: What Are You Gonna Do?,11/8/21
Big Mouth: Season 4: Horrority House,11/7/21
Big Mouth: Season 4: The Funeral,11/7/21
Big Mouth: Season 4: Four Stories About Hand Stuff,11/6/21
Young Royals: Season 1: Episode 2,11/6/21
Big Mouth: Season 4: Nick Starr,11/6/21
Big Mouth: Season 4: A Very Special 9/11 Episode,11/6/21
Gilmore Girls: Season 3: Lazy-Hazy-Crazy Days,11/2/21
Hubie Halloween,10/30/21
Maid: Limited Series: Snaps,10/30/21
Maid: Limited Series: Sky Blue,10/30/21
Maid: Limited Series: Bear Hunt,10/29/21
Maid: Limited Series: String Cheese,10/28/21
Maid: Limited Series: M,10/28/21
Maid: Limited Series: Thief,10/28/21
Maid: Limited Series: Cashmere,10/26/21
Maid: Limited Series: Sea Glass,10/26/21
Maid: Limited Series: Ponies,10/25/21
Maid: Limited Series: Dollar Store,10/25/21
Breaking Bad: Season 3: Full Measure,10/21/21
Gladiator,10/21/21
On My Block: Season 4: Chapter Thirty-Five,10/17/21
Titanic,10/16/21
Breaking Bad: Season 3: Half Measures,9/26/21
A Cinderella Story,9/26/21
Sex Education: Season 3: Episode 8,9/21/21
Sex Education: Season 3: Episode 7,9/21/21
Sex Education: Season 3: Episode 6,9/20/21
Sex Education: Season 3: Episode 5,9/19/21
Sex Education: Season 3: Episode 4,9/19/21
Sex Education: Season 3: Episode 3,9/18/21
Sex Education: Season 3: Episode 2,9/17/21
Sex Education: Season 3: Episode 1,9/17/21
Grace and Frankie: Season 3: The Musical,9/15/21
Grace and Frankie: Season 3: The Other Vibrator,9/15/21
Schitt's Creek: Season 1: Allez-Vous,9/14/21
Breaking Bad: Season 3: Abiquiu,9/9/21
Django Unchained,8/29/21
Steve Jobs,8/28/21
Breaking Bad: Season 3: Fly,8/27/21
Breaking Bad: Season 3: Kafkaesque,8/25/21
Boogie Nights,8/25/21
Breaking Bad: Season 3: I See You,8/25/21
Breaking Bad: Season 3: One Minute,8/24/21
Breaking Bad: Season 3: Sunset,8/22/21
Our Souls at Night,8/20/21
Breaking Bad: Season 3: Mas,8/19/21
Schitt's Creek: Season 1: Turkey Shoot,8/19/21
Schitt's Creek: Season 1: Wine and Roses,8/19/21
Breaking Bad: Season 3: Green Light,8/18/21
Breaking Bad: Season 3: I.F.T.,8/16/21
Schitt's Creek: Season 1: The Cabin,8/12/21
Schitt's Creek: Season 1: Bad Parents,8/12/21
Peaky Blinders: Season 1: Episode 5,8/12/21
The Pianist,8/12/21
Catch Me If You Can,8/12/21
Breaking Bad: Season 3: Caballo Sin Nombre,8/11/21
The Kissing Booth 3,8/11/21
Breaking Bad: Season 3: No Más,8/10/21
Mystic River,8/9/21
"You: Season 2: Farewell, My Bunny",8/9/21
"You: Season 2: Have a Good Wellkend, Joe!",8/9/21
Magnolia,8/7/21
I Care a Lot,8/4/21
Breaking Bad: Season 2: ABQ,8/4/21
"Virgin River: Season 3: A Wedding, No Funeral and a Baby",8/1/21
Virgin River: Season 3: The Sun Also Rises,7/30/21
Outer Banks: Season 2: The Gold,7/30/21
Virgin River: Season 3: Life and Death,7/29/21
Virgin River: Season 3: Split,7/28/21
Virgin River: Season 3: Jack and Jill,7/25/21
Virgin River: Season 3: Kindling,7/25/21
Breaking Bad: Season 2: Phoenix,7/22/21
Breaking Bad: Season 2: Mandala,7/22/21
Breaking Bad: Season 2: Over,7/21/21
Breaking Bad: Season 2: 4 Days Out,7/20/21
Virgin River: Season 3: Take My Breath Away,7/20/21
Breaking Bad: Season 2: Better Call Saul,7/19/21
Virgin River: Season 3: Spare Parts and Broken Hearts,7/19/21
Virgin River: Season 3: Sticky Feet,7/19/21
Virgin River: Season 3: Where There's Smoke...,7/18/21
Maid-Sama!: Season 1: Too-Cruel Ayuzawa & Usui the Idiot!,7/16/21
Never Have I Ever: Season 2: ... been a perfect girl,7/15/21
Never Have I Ever: Season 2: ... stalked my own mother,7/15/21
Never Have I Ever: Season 2: ... been Daisy Buchanan,7/15/21
Never Have I Ever: Season 2: ... begged for forgiveness,7/15/21
Never Have I Ever: Season 2: ... betrayed a friend,7/15/21
Never Have I Ever: Season 2: ... opened a textbook,7/15/21
Never Have I Ever: Season 2: ... thrown a rager,7/15/21
Never Have I Ever: Season 2: ... been a playa,7/15/21
"Schitt's Creek: Season 1: Don't Worry, It's His Sister",7/13/21
Breaking Bad: Season 2: Negro y Azul,7/13/21
Breaking Bad: Season 2: Peekaboo,7/13/21
Breaking Bad: Season 2: Breakage,7/13/21
Breaking Bad: Season 2: Down,7/12/21
Breaking Bad: Season 2: Bit by a Dead Bee,7/11/21
The Kissing Booth 2,7/11/21
Sex/Life: Season 1: New New York,7/10/21
Sex/Life: Season 1: Empire State of Mind,7/10/21
Sex/Life: Season 1: Down in the Tube Station at Midnight,7/10/21
Sex/Life: Season 1: The Wives Are in Connecticut,7/10/21
Eat Pray Love,7/10/21
Breaking Bad: Season 2: Grilled,7/10/21
Breaking Bad: Season 2: Seven Thirty-Seven,7/9/21
Young Royals: Season 1: Episode 3,7/8/21
Young Royals: Season 1: Episode 1,7/8/21
Breaking Bad: Season 1: A No-Rough-Stuff-Type Deal,7/8/21
Breaking Bad: Season 1: Crazy Handful of Nothin',7/7/21
Fear Street Part 1: 1994,7/6/21
Shadow and Bone: Season 1: Show Me Who You Are,7/6/21
Breaking Bad: Season 1: Gray Matter,7/2/21
Breaking Bad: Season 1: Cancer Man,7/1/21
Schitt's Creek: Season 1: The Drip,7/1/21
Schitt's Creek: Season 1: Our Cup Runneth Over,7/1/21
Breaking Bad: Season 1: And the Bag's in the River,6/30/21
Breaking Bad: Season 1: Pilot,6/30/21
The Crown: Season 1: Wolferton Splash,6/28/21
"Twin Peaks: Season 1: Zen, or the Skill to Catch a Killer",6/28/21
Elite: Season 2: 84 hours missing,6/28/21
Elite Short Stories: Carla Samuel: Season 1: Part 2,6/28/21
Sex Education: Season 2: Episode 8,6/27/21
Sex Education: Season 2: Episode 7,6/27/21
Sex Education: Season 2: Episode 6,6/27/21
Sex Education: Season 2: Episode 5,6/27/21
Sex Education: Season 2: Episode 4,6/26/21
Sex Education: Season 2: Episode 3,6/26/21
Sex Education: Season 2: Episode 2,6/25/21
Elite: Season 3: Samuel and Guzmán,6/25/21
Elite: Season 2: 66 hours missing,6/25/21
Elite: Season 2: 34 hours missing,6/25/21
Elite: Season 1: Saturday Night,6/25/21
Elite Short Stories: Nadia Guzmán: Season 1: Part 3,6/25/21
Elite Short Stories: Nadia Guzmán: Season 1: Part 2,6/25/21
Elite Short Stories: Nadia Guzmán: Season 1: Part 1,6/25/21
Twin Peaks: Season 1: Traces to Nowhere,6/25/21
Elite Short Stories: Carla Samuel: Season 1: Part 3,6/24/21
Elite Short Stories: Carla Samuel: Season 1: Part 1,6/24/21
Sex Education: Season 2: Episode 1,6/24/21
Elite: Season 4: Before I Go (Part II),6/23/21
Elite: Season 4: Before I Go (Part I),6/23/21
The Departed,6/23/21
Sex Education: Season 1: Episode 8,6/23/21
Sex Education: Season 1: Episode 7,6/23/21
Sex Education: Season 1: Episode 6,6/23/21
Sex Education: Season 1: Episode 5,6/23/21
Sex Education: Season 1: Episode 4,6/23/21
Sex Education: Season 1: Episode 3,6/23/21
Twin Peaks: Season 1: Pilot,6/22/21
Outer Banks: Season 1: Spy Games,6/21/21
Sex Education: Season 1: Episode 2,6/21/21
Elite: Season 4: I Love You All Wrong,6/20/21
Elite: Season 4: Reintegration,6/20/21
Elite: Season 4: I'm a...,6/20/21
Elite: Season 4: When Lies Dance with Temptation,6/20/21
Elite: Season 4: Five Seconds,6/20/21
Sex Education: Season 1: Episode 1,6/19/21
Elite: Season 4: The New Order,6/19/21
Silver Linings Playbook,6/18/21
The Florida Project,6/17/21
Million Dollar Baby,6/16/21
Les Misérables,6/14/21
Grace and Frankie: Season 3: The Labels,6/14/21
The Crown: Season 4: War,6/12/21
Spotlight,6/9/21
The Crown: Season 4: Avalanche,6/9/21
The Crown: Season 4: 48:1,6/8/21
Election,6/8/21
The Crown: Season 4: The Hereditary Principle,6/7/21
Halston: Season 1: The Party's Over,6/7/21
The Big Lebowski,6/6/21
The Crown: Season 4: Terra Nullius,6/2/21
The Crown: Season 4: Fagan,6/1/21
The Help,5/31/21
Grand Army: Season 1: See Me,5/30/21
Grand Army: Season 1: Valentine's Day,5/30/21
The Master,5/29/21
Peaky Blinders: Season 1: Episode 6,5/26/21
Peaky Blinders: Season 3: Episode 1,5/26/21
The Crown: Season 4: Favourites,5/25/21
The Crown: Season 4: Fairytale,5/24/21
Grace and Frankie: Season 3: The Apology,5/24/21
A Single Man,5/24/21
Milk,5/20/21
Halston: Season 1: The Sweet Smell of Success,5/19/21
Halston: Season 1: Versailles,5/16/21
Halston: Season 1: Becoming Halston,5/15/21
Chasing Coral,5/15/21
The Woman in the Window,5/14/21
Remember Me,5/12/21
"Crazy, Stupid, Love.",5/12/21
The Crown: Season 4: The Balmoral Test,5/11/21
