Title,Date
"The Dragon Prince: Season 1: An Empty Throne","3/25/22"
"Masters of the Universe: Revelation: Part 2: Comes with Everything You See Here","3/17/22"
"Masters of the Universe: Revelation: Part 2: Reason and Blood","3/17/22"
"Masters of the Universe: Revelation: Part 2: Cleaved in Twain","3/17/22"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Letting Someone Else Go First","3/9/22"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Mount Natagumo","3/9/22"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: The House with the Wisteria Family Crest","3/9/22"
"Teenage Mutant Ninja Turtles","2/23/22"
"The Ridiculous 6","1/19/22"
"The Legend of Korra: Book One: Air: The Revelation","1/13/22"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: You Must Master a Single Thing","12/9/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Trainer Sakonji Urokodaki","12/9/21"
"Maya and the Three: Limited Series: Chapter 9: The Sun and the Moon","11/20/21"
"Maya and the Three: Limited Series: Chapter 8: The Bat and the Owl","11/20/21"
"Maya and the Three: Limited Series: Chapter 7: The Divine Gate","11/20/21"
"Maya and the Three: Limited Series: Chapter 6: Maya and the Three","11/20/21"
"Maya and the Three: Limited Series: Chapter 5: The Puma","11/20/21"
"Maya and the Three: Limited Series: Chapter 3: The Rooster","11/20/21"
"Maya and the Three: Limited Series: Chapter 4: The Skull","11/19/21"
"Maya and the Three: Limited Series: Chapter 2: The Prophecy","11/19/21"
"Maya and the Three: Limited Series: Chapter 1: Quinceañera","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Turn of the Tide","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Nyad","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Assault on Ninjago City","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Calm Before the Storm","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Master of the Sea","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Papergirl","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Riddle of the Sphinx","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Storm Amulet","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Tale of Benthomaar","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Escape from Merlopia","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Long Live the King","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Wrath of Kalmaar","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Five Thousand Fathoms Down","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: Unsinkable","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: The Call of the Deep","11/19/21"
"LEGO Ninjago: Season 3 Part 2 - Seabound: A Big Splash","11/19/21"
"Avatar: The Last Airbender: Book 3: Sozin's Comet","11/19/21"
"Avatar: The Last Airbender: Book 3: Day of the Black Sun","11/19/21"
"Avatar: The Last Airbender: Book 3: The Avatar and the Firelord","11/19/21"
"Avatar: The Last Airbender: Book 3: The Beach","11/19/21"
"Avatar: The Last Airbender: Book 3: Sokka's Master","11/19/21"
"Avatar: The Last Airbender: Book 3: The Painted Lady","11/19/21"
"Avatar: The Last Airbender: Book 3: The Headband","11/19/21"
"Avatar: The Last Airbender: Book 3: The Ember Island Players","11/18/21"
"Avatar: The Last Airbender: Book 3: The Southern Raiders","11/18/21"
"Avatar: The Last Airbender: Book 3: The Boiling Rock","11/18/21"
"Avatar: The Last Airbender: Book 1: The Storm","11/16/21"
"InuYasha the Movie 3: Swords of an Honorable Ruler","11/15/21"
"Pokémon the Movie: I Choose You!","11/11/21"
"The Legend of Korra: Book Two: Spirits: Night of a Thousand Stars","11/11/21"
"Castlevania: Season 4: The Great Work","11/8/21"
"Castlevania: Season 4: Death Magic","11/8/21"
"Dragons: Race to the Edge: Season 6: Mi Amore Wing","11/7/21"
"Dragons: Race to the Edge: Season 6: Chain of Command","11/7/21"
"Dragons: Race to the Edge: Season 6: No Bark, All Bite","11/7/21"
"Castlevania: Season 4: Walk Away","11/5/21"
"Titanic","11/3/21"
"Dragons: Race to the Edge: Season 1: Crushing It","10/30/21"
"Dragons: Race to the Edge: Season 2: The Zippleback Experience","10/30/21"
"Dragons: Race to the Edge: Season 4: Midnight Scrum","10/30/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Cruelty","10/30/21"
"Castlevania: Season 4: Having the World","10/29/21"
"Castlevania: Season 1: Witchbottle","10/29/21"
"Castlevania: Season 4: You Don't Deserve My Blood","10/28/21"
"Castlevania: Season 4: Murder Wakes It Up","10/28/21"
"Castlevania: Season 4: It's Been a Strange Ride","10/28/21"
"Castlevania: Season 4: The Endings","10/26/21"
"The Dragon Prince: Season 3: Sol Regem","10/24/21"
"The Dragon Prince: Season 2: Breathe","10/24/21"
"The Dragon Prince: Season 2: The Book of Destiny","10/23/21"
"The Dragon Prince: Season 2: Fire and Fury","10/23/21"
"The Dragon Prince: Season 2: Heart of a Titan","10/23/21"
"The Dragon Prince: Season 2: Breaking the Seal","10/23/21"
"The Dragon Prince: Season 2: Voyage of the Ruthless","10/23/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Hashira Meeting","10/22/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Master of the Mansion","10/22/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: A Forged Bond","10/22/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Together Forever","10/21/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Temari Demon and Arrow Demon","10/21/21"
"Yu-Gi-Oh!: Season 1: Yugi vs. Pegasus Match of the Millennium: Part 1","10/20/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: New Mission","10/20/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Tsuguko, Kanao Tsuyuri","10/20/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Rehabilitation Training","10/19/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Against Corps Rules","10/19/21"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Pretend Family","10/19/21"
